,ADULTO,NU_IDADE,NOTA_TOTAL,TP_COR_RACA_DESC,TP_LINGUA_DESC,Q024_DESC,Q025_DESC
1117479,Adulto,21.0,,Branca,Inglês,"Sim, um",Sim
550725,Jovem,17.0,2944.1,Parda,Inglês,Não,Sim
745449,Jovem,17.0,2322.3,Parda,Espanhol,Não,Sim
606890,Jovem,18.0,3136.6,Parda,Inglês,"Sim, três",Sim
132578,Jovem,18.0,2245.0,Preta,Espanhol,"Sim, um",Sim
916622,Jovem,17.0,2572.8,Parda,Espanhol,Não,Sim
872165,Jovem,18.0,,Branca,Espanhol,Não,Sim
989949,Jovem,18.0,1693.1,Parda,Inglês,Não,Não
608729,Jovem,17.0,3195.0,Branca,Inglês,"Sim, um",Sim
203699,Adulto,19.0,2437.2,Preta,Inglês,Não,Não
869709,Jovem,17.0,,Parda,Inglês,Não,Sim
383199,Jovem,18.0,2184.2,Parda,Espanhol,"Sim, um",Sim
567725,Jovem,16.0,2878.4,Parda,Espanhol,"Sim, um",Sim
570971,Jovem,18.0,2090.2,Parda,Inglês,Não,Não
279710,Jovem,17.0,,Parda,Espanhol,Não,Não
558991,Jovem,17.0,2404.0,Parda,Inglês,"Sim, um",Sim
262468,Jovem,17.0,3175.4,Preta,Inglês,"Sim, um",Sim
775688,Jovem,18.0,2790.0,Branca,Espanhol,Não,Sim
1031928,Jovem,17.0,2367.8,Parda,Espanhol,Não,Sim
403021,Jovem,18.0,1983.6,Branca,Inglês,Não,Não
291507,Adulto,32.0,1956.7,Parda,Espanhol,"Sim, um",Não
527999,Adulto,19.0,2245.3,Preta,Inglês,Não,Não
712283,Jovem,17.0,2585.2,Parda,Espanhol,Não,Não
329801,Adulto,19.0,,Parda,Inglês,Não,Sim
1104781,Jovem,18.0,2638.0,Parda,Espanhol,Não,Sim
1069805,Jovem,17.0,2444.6,Parda,Espanhol,Não,Sim
209999,Jovem,18.0,2301.1,Branca,Espanhol,Não,Sim
223676,Jovem,17.0,3693.8,Branca,Inglês,"Sim, três",Sim
827071,Jovem,18.0,,Preta,Espanhol,Não,Sim
856869,Jovem,18.0,2991.5,Parda,Espanhol,Não,Não
1175349,Adulto,19.0,2762.3999999999996,Preta,Inglês,Não,Sim
1247253,Adulto,31.0,,Branca,Espanhol,Não,Não
53581,Jovem,17.0,2875.1,Branca,Espanhol,Não,Sim
219732,Jovem,18.0,2578.6,Parda,Inglês,"Sim, dois",Sim
486265,Jovem,17.0,,Preta,Espanhol,"Sim, um",Sim
640033,Jovem,18.0,2776.8999999999996,Branca,Espanhol,"Sim, dois",Sim
879803,Jovem,17.0,2466.2999999999997,Parda,Espanhol,Não,Não
1066951,Jovem,17.0,3009.3,Branca,Inglês,Não,Sim
555132,Jovem,17.0,2074.5,Parda,Espanhol,Não,Não
92752,Jovem,18.0,3218.9,Parda,Inglês,"Sim, um",Sim
1072125,Jovem,18.0,2070.4,Branca,Inglês,Não,Sim
560388,Jovem,18.0,2376.5,Parda,Inglês,"Sim, um",Sim
905025,Jovem,17.0,3118.8999999999996,Branca,Inglês,"Sim, um",Sim
444326,Adulto,19.0,2216.6,Parda,Espanhol,Não,Sim
285479,Jovem,18.0,2399.6,Branca,Espanhol,Não,Sim
429697,Jovem,17.0,2303.2,Parda,Espanhol,Não,Sim
282680,Adulto,19.0,2136.1000000000004,Preta,Espanhol,"Sim, um",Sim
226884,Jovem,17.0,2631.2999999999997,Parda,Inglês,"Sim, um",Sim
1066591,Jovem,17.0,2834.3,Branca,Inglês,Não,Sim
1083283,Jovem,18.0,2222.7999999999997,Parda,Espanhol,Não,Sim
34931,Jovem,17.0,2658.6,Preta,Inglês,Não,Sim
300497,Jovem,17.0,1742.0,Branca,Espanhol,Não,Sim
1219982,Jovem,17.0,2563.2999999999997,Parda,Inglês,Não,Não
